Date,AvgTemp,MinTemp,MaxTemp,Rainfall_mm,Weekend,Litres
2015-01-01,27.3,23.9,32.5,0.0,0,25461.0
2015-01-02,27.02,24.5,33.5,0.0,0,28972.0
2015-01-03,24.82,22.4,29.9,0.0,1,30814.0
2015-01-04,23.98,21.5,28.6,1.2,1,29799.0
2015-01-05,23.82,21.0,28.3,0.0,0,28900.0
2015-01-06,23.78,20.1,30.5,12.2,0,28218.0
2015-01-07,24.0,19.5,33.7,0.0,0,29732.0
2015-01-08,24.9,19.5,32.8,48.6,0,28397.0
2015-01-09,28.2,21.9,34.0,4.4,0,24886.0
2015-01-10,26.76,22.1,34.2,0.0,1,37937.0
2015-01-11,27.62,22.2,34.8,3.4,1,36254.0
2015-01-12,25.96,21.4,35.4,0.0,0,25743.0
2015-01-13,25.52,21.2,34.8,0.8,0,26990.0
2015-01-14,25.96,21.3,34.0,1.6,0,31825.0
2015-01-15,25.86,21.5,32.8,3.0,0,25724.0
2015-01-16,26.5,22.3,32.7,2.0,0,29938.0
2015-01-17,28.86,22.0,35.8,0.0,1,37690.0
2015-01-18,28.26,23.4,35.6,0.0,1,30524.0
2015-01-19,28.22,22.7,36.5,3.7,0,29265.0
2015-01-20,27.68,23.3,35.6,0.6,0,35127.0
2015-01-21,25.32,22.7,30.9,0.0,0,29130.0
2015-01-22,21.74,19.2,26.1,31.0,0,25795.0
2015-01-23,21.04,18.5,26.1,3.6,0,21784.0
2015-01-24,23.12,19.0,29.4,13.0,1,28348.0
2015-01-25,24.4,18.1,30.0,0.0,1,31088.0
2015-01-26,22.4,18.9,28.7,20.8,0,21520.0
2015-01-27,23.6,20.5,28.7,1.2,0,29972.0
2015-01-28,25.68,20.1,29.9,4.9,0,22603.0
2015-01-29,25.0,21.5,29.2,0.0,0,22696.0
2015-01-30,22.8,20.9,26.9,0.0,0,26845.0
2015-01-31,21.64,18.5,24.3,0.2,1,27030.0
2015-02-01,24.16,20.6,28.0,0.0,1,32057.0
2015-02-02,22.48,20.7,26.5,4.5,0,24097.0
2015-02-03,23.16,18.0,31.1,1.6,0,31655.0
2015-02-04,22.12,19.9,23.7,3.2,0,24738.0
2015-02-05,20.28,19.1,22.9,5.6,0,19950.0
2015-02-06,21.06,17.9,25.4,18.4,0,22821.0
2015-02-07,21.86,17.3,28.7,16.7,1,28893.0
2015-02-08,22.76,17.1,29.5,10.4,1,29926.0
2015-02-09,24.0,19.3,30.7,0.0,0,24062.0
2015-02-10,23.92,20.1,29.0,32.2,0,21137.0
2015-02-11,25.38,19.9,30.4,2.2,0,26805.0
2015-02-12,27.66,23.1,32.7,0.0,0,26389.0
2015-02-13,25.54,22.5,32.1,0.0,0,24219.0
2015-02-14,24.32,21.1,31.6,0.0,1,30231.0
2015-02-15,22.9,20.0,27.6,17.4,1,24968.0
2015-02-16,21.6,18.8,27.3,22.7,0,25343.0
2015-02-17,22.76,19.7,28.0,85.3,0,17399.0
2015-02-18,22.22,19.9,26.4,13.4,0,21392.0
2015-02-19,23.92,19.9,28.5,2.4,0,22922.0
2015-02-20,24.72,21.7,28.2,0.0,0,24567.0
2015-02-21,25.2,21.4,31.1,0.0,1,30943.0
2015-02-22,24.44,20.4,30.8,0.0,1,30825.0
2015-02-23,25.4,20.7,31.4,0.0,0,25692.0
2015-02-24,24.3,20.5,31.9,0.0,0,26959.0
2015-02-25,22.24,19.3,29.3,2.0,0,25366.0
2015-02-26,24.1,19.2,30.3,34.4,0,22784.0
2015-02-27,24.64,20.4,31.4,0.6,0,26241.0
2015-02-28,22.4,19.7,27.7,0.0,1,26467.0
2015-03-01,21.26,18.2,26.3,3.0,1,27475.0
2015-03-02,22.16,17.2,29.2,0.0,0,28749.0
2015-03-03,23.16,19.5,29.5,0.0,0,24146.0
2015-03-04,23.68,18.9,30.5,0.0,0,22988.0
2015-03-05,24.42,19.7,31.6,0.0,0,30300.0
2015-03-06,22.6,19.4,28.5,0.0,0,22654.0
2015-03-07,21.92,19.4,26.6,38.2,1,29090.0
2015-03-08,22.2,19.7,24.4,69.2,1,24619.0
2015-03-09,21.36,19.7,23.3,77.0,0,20016.0
2015-03-10,23.12,21.2,26.9,9.7,0,23042.0
2015-03-11,22.88,20.1,28.1,9.5,0,22933.0
2015-03-12,22.26,19.2,26.9,1.2,0,22409.0
2015-03-13,22.34,20.0,26.6,0.0,0,21281.0
2015-03-14,22.88,19.9,27.9,12.2,1,28844.0
2015-03-15,22.08,19.1,26.8,0.3,1,32872.0
2015-03-16,21.92,18.6,29.4,22.4,0,20903.0
2015-03-17,21.92,18.6,25.6,24.2,0,26275.0
2015-03-18,21.24,19.7,24.1,0.0,0,20167.0
2015-03-19,21.78,19.2,27.1,3.2,0,23628.0
2015-03-20,21.64,18.9,28.2,7.4,0,24213.0
2015-03-21,20.88,18.5,25.3,14.7,1,28631.0
2015-03-22,19.7,18.1,22.8,1.7,1,25855.0
2015-03-23,19.88,17.1,23.3,19.2,0,21406.0
2015-03-24,20.98,17.4,26.3,0.0,0,21617.0
2015-03-25,21.56,17.1,27.9,0.0,0,22401.0
2015-03-26,22.98,18.3,29.8,0.0,0,27989.0
2015-03-27,23.32,18.0,30.8,0.0,0,24974.0
2015-03-28,23.28,19.1,29.5,0.0,1,29760.0
2015-03-29,22.14,20.5,26.6,0.0,1,26116.0
2015-03-30,22.5,19.0,25.9,18.6,0,25850.0
2015-03-31,23.14,20.1,29.0,1.0,0,24925.0
2015-04-01,22.52,19.2,27.5,0.0,0,21979.0
2015-04-02,20.92,18.2,26.2,0.0,0,22116.0
2015-04-03,21.02,16.3,27.2,0.0,0,24867.0
2015-04-04,22.36,17.9,29.4,0.0,1,33450.0
2015-04-05,22.82,20.1,26.4,0.0,1,32713.0
2015-04-06,21.36,18.5,27.7,0.0,0,22356.0
2015-04-07,17.38,16.1,20.0,7.1,0,21004.0
2015-04-08,18.68,14.7,24.3,0.4,0,23362.0
2015-04-09,19.4,15.9,25.6,0.0,0,20298.0
2015-04-10,20.46,17.0,25.5,0.0,0,24862.0
2015-04-11,21.74,17.2,28.4,0.0,1,30505.0
2015-04-12,19.92,16.8,25.7,0.0,1,25070.0
2015-04-13,20.88,18.1,25.7,0.0,0,22620.0
2015-04-14,21.7,18.4,28.8,0.0,0,22001.0
2015-04-15,21.94,18.5,27.4,0.0,0,23469.0
2015-04-16,21.26,18.6,26.7,25.4,0,21735.0
2015-04-17,21.42,18.4,27.0,37.2,0,21593.0
2015-04-18,23.36,18.2,29.3,0.0,1,33822.0
2015-04-19,22.5,20.3,27.2,0.0,1,28028.0
2015-04-20,24.0,19.3,29.2,20.2,0,24304.0
2015-04-21,22.52,19.3,29.0,0.0,0,31108.0
2015-04-22,20.06,18.9,21.6,2.4,0,19113.0
2015-04-23,21.2,18.6,24.9,14.6,0,23198.0
2015-04-24,22.52,19.3,28.1,0.0,0,24388.0
2015-04-25,19.18,17.4,23.3,0.0,1,27420.0
2015-04-26,19.04,16.1,23.7,0.8,1,30479.0
2015-04-27,19.82,17.5,24.9,0.0,0,21838.0
2015-04-28,20.26,17.2,26.9,0.0,0,20812.0
2015-04-29,18.66,16.8,22.7,0.0,0,19761.0
2015-04-30,16.22,14.7,18.7,0.0,0,20452.0
2015-05-01,17.34,13.4,22.0,0.0,0,17939.0
2015-05-02,19.26,14.7,26.4,0.0,1,25272.0
2015-05-03,21.04,15.8,26.3,0.0,1,28049.0
2015-05-04,19.96,17.9,22.3,1.0,0,25317.0
2015-05-05,18.14,16.6,20.8,9.9,0,21826.0
2015-05-06,17.76,15.9,20.4,0.0,0,20680.0
2015-05-07,17.8,15.8,21.7,0.0,0,19143.0
2015-05-08,16.14,13.9,19.2,0.0,0,18146.0
2015-05-09,18.04,13.7,26.1,0.0,1,25489.0
2015-05-10,16.94,13.7,21.0,0.0,1,23537.0
2015-05-11,17.86,15.7,20.6,22.2,0,16956.0
2015-05-12,17.12,14.2,21.7,0.0,0,19052.0
2015-05-13,16.34,14.7,18.9,2.8,0,17287.0
2015-05-14,16.72,14.2,21.0,0.0,0,20300.0
2015-05-15,16.84,13.6,21.5,0.0,0,20538.0
2015-05-16,17.18,13.2,22.3,0.0,1,23702.0
2015-05-17,18.26,15.4,22.4,0.0,1,28411.0
2015-05-18,18.6,16.6,21.3,0.0,0,21073.0
2015-05-19,18.64,17.0,22.9,0.0,0,24215.0
2015-05-20,18.74,15.9,23.3,0.2,0,19525.0
2015-05-21,19.46,16.3,25.0,0.0,0,20786.0
2015-05-22,20.26,16.3,25.4,0.0,0,20429.0
2015-05-23,19.94,15.9,24.4,0.0,1,27250.0
2015-05-24,21.8,17.9,26.3,0.0,1,31387.0
2015-05-25,22.06,17.5,27.4,0.0,0,26075.0
2015-05-26,21.28,19.7,24.8,0.0,0,22162.0
2015-05-27,22.94,19.7,27.1,0.0,0,24258.0
2015-05-28,18.56,16.8,23.2,1.8,0,24683.0
2015-05-29,17.68,15.3,21.9,7.2,0,21245.0
2015-05-30,17.52,13.1,22.9,0.0,1,25937.0
2015-05-31,16.28,13.6,18.4,5.6,1,26081.0
2015-06-01,16.28,15.2,18.0,2.2,0,16228.0
2015-06-02,16.04,15.0,17.5,0.5,0,20106.0
2015-06-03,17.94,15.0,21.7,0.0,0,21055.0
2015-06-04,18.36,14.6,24.1,0.0,0,22772.0
2015-06-05,18.32,14.1,25.3,0.0,0,25142.0
2015-06-06,19.66,13.8,26.1,0.0,1,31129.0
2015-06-07,20.62,15.9,26.2,0.0,1,30498.0
2015-06-08,20.86,15.2,26.4,0.0,0,26150.0
2015-06-09,20.32,15.2,26.0,0.0,0,21327.0
2015-06-10,20.54,15.5,26.2,0.0,0,22008.0
2015-06-11,22.72,17.5,26.9,0.0,0,24615.0
2015-06-12,18.8,16.9,23.5,0.0,0,22375.0
2015-06-13,21.1,15.5,27.4,0.0,1,29607.0
2015-06-14,22.76,18.1,27.3,0.0,1,32983.0
2015-06-15,16.02,13.1,23.4,0.0,0,19119.0
2015-06-16,14.82,12.1,18.1,9.0,0,21029.0
2015-06-17,19.8,13.9,25.1,0.0,0,23898.0
2015-06-18,19.88,15.8,26.2,0.0,0,24534.0
2015-06-19,14.66,13.2,17.7,3.8,0,16748.0
2015-06-20,15.82,12.5,20.4,0.0,1,23055.0
2015-06-21,17.32,12.6,24.6,0.0,1,28857.0
2015-06-22,18.54,13.1,24.6,0.0,0,23022.0
2015-06-23,19.02,14.4,25.5,0.0,0,27146.0
2015-06-24,14.54,13.9,18.0,3.8,0,17241.0
2015-06-25,14.72,12.1,17.4,1.0,0,19463.0
2015-06-26,15.26,12.0,20.9,0.0,0,21860.0
2015-06-27,15.34,10.6,20.8,0.0,1,24227.0
2015-06-28,15.48,11.2,21.8,0.0,1,27594.0
2015-06-29,17.2,11.0,24.4,0.0,0,24863.0
2015-06-30,19.36,13.2,25.1,0.0,0,20161.0
2015-07-01,17.78,16.2,20.5,0.0,0,20824.0
2015-07-02,17.2,15.1,19.9,1.6,0,19727.0
2015-07-03,17.52,15.6,18.4,17.8,0,14940.0
2015-07-04,14.94,10.9,21.0,15.2,1,24632.0
2015-07-05,12.9,11.0,14.5,4.4,1,21294.0
2015-07-06,15.78,11.3,20.6,0.0,0,18448.0
2015-07-07,16.8,13.3,20.2,0.0,0,21237.0
2015-07-08,17.02,14.9,18.7,4.5,0,19849.0
2015-07-09,17.54,15.3,20.4,0.0,0,20740.0
2015-07-10,19.24,14.0,25.4,0.0,0,25698.0
2015-07-11,17.46,16.0,19.8,0.0,1,26691.0
2015-07-12,20.32,14.0,27.4,3.0,1,33298.0
2015-07-13,22.06,16.7,28.7,0.0,0,25640.0
2015-07-14,23.3,18.4,29.3,0.0,0,23937.0
2015-07-15,20.18,17.2,27.6,0.0,0,28742.0
2015-07-16,19.88,16.2,25.8,0.0,0,21748.0
2015-07-17,19.14,15.8,24.3,0.0,0,22032.0
2015-07-18,20.2,18.2,23.8,0.0,1,24827.0
2015-07-19,19.98,14.6,25.9,0.0,1,32473.0
2015-07-20,20.56,14.9,25.1,0.0,0,20620.0
2015-07-21,16.72,14.0,21.4,0.0,0,21825.0
2015-07-22,14.52,12.8,16.1,0.0,0,14343.0
2015-07-23,17.02,13.6,20.6,0.0,0,19029.0
2015-07-24,18.46,14.3,25.8,0.0,0,21104.0
2015-07-25,15.9,14.9,17.9,16.6,1,20738.0
2015-07-26,16.82,13.6,22.9,2.0,1,25233.0
2015-07-27,16.6,11.0,24.2,0.0,0,18975.0
2015-07-28,16.46,11.6,24.5,0.0,0,19640.0
2015-07-29,16.2,11.0,23.8,0.0,0,22522.0
2015-07-30,16.76,11.3,26.7,0.0,0,24227.0
2015-07-31,19.24,12.8,26.6,0.0,0,24726.0
2015-08-01,19.78,14.3,26.4,0.0,1,32467.0
2015-08-02,20.1,13.8,26.3,0.0,1,31663.0
2015-08-03,21.16,14.9,26.9,0.0,0,25867.0
2015-08-04,21.04,15.2,27.4,0.0,0,27724.0
2015-08-05,20.96,15.0,27.2,0.0,0,22039.0
2015-08-06,21.06,16.3,27.7,0.0,0,26127.0
2015-08-07,22.08,15.5,28.9,0.0,0,26580.0
2015-08-08,21.16,16.0,27.8,0.0,1,31310.0
2015-08-09,19.62,15.6,26.2,0.0,1,33517.0
2015-08-10,21.2,15.6,28.0,0.0,0,23181.0
2015-08-11,19.6,15.2,27.2,0.0,0,24183.0
2015-08-12,20.12,14.1,26.6,0.0,0,24594.0
2015-08-13,20.42,14.1,28.1,0.0,0,22610.0
2015-08-14,20.86,15.3,27.6,0.0,0,25479.0
2015-08-15,21.44,15.6,27.8,0.0,1,29621.0
2015-08-16,20.56,16.2,27.2,0.0,1,26272.0
2015-08-17,21.58,15.3,28.0,0.0,0,22541.0
2015-08-18,21.3,16.7,26.5,0.0,0,23070.0
2015-08-19,20.74,17.3,28.3,0.0,0,26021.0
2015-08-20,16.2,14.8,19.6,0.0,0,17655.0
2015-08-21,16.84,13.2,22.1,1.0,0,23243.0
2015-08-22,18.08,14.1,26.2,0.0,1,30177.0
2015-08-23,20.22,13.5,30.0,0.0,1,27518.0
2015-08-24,16.98,15.1,20.5,0.0,0,23210.0
2015-08-25,16.98,14.3,20.5,2.4,0,21092.0
2015-08-26,18.92,14.8,24.0,0.6,0,23357.0
2015-08-27,16.1,13.8,19.8,2.6,0,17888.0
2015-08-28,16.28,12.8,22.1,25.0,0,22217.0
2015-08-29,18.46,12.2,26.7,0.0,1,31681.0
2015-08-30,22.52,14.3,32.0,0.0,1,31833.0
2015-08-31,24.54,16.6,32.2,0.0,0,28441.0
2015-09-01,21.44,17.2,30.7,0.0,0,22389.0
2015-09-02,16.1,14.1,20.2,0.4,0,20681.0
2015-09-03,19.3,14.8,25.0,0.0,0,24222.0
2015-09-04,16.66,15.2,19.3,0.0,0,19345.0
2015-09-05,16.12,14.4,18.5,2.4,1,21827.0
2015-09-06,16.48,13.3,19.9,0.0,1,23566.0
2015-09-07,18.72,13.8,24.4,0.1,0,20227.0
2015-09-08,17.08,15.8,19.2,23.6,0,17075.0
2015-09-09,18.82,15.8,22.9,58.0,0,16977.0
2015-09-10,18.92,13.9,25.6,0.0,0,21525.0
2015-09-11,16.88,14.1,21.8,31.8,0,21454.0
2015-09-12,14.0,12.8,15.6,27.6,1,21814.0
2015-09-13,14.18,12.5,16.1,0.0,1,21252.0
2015-09-14,16.46,13.0,22.5,0.2,0,20464.0
2015-09-15,21.18,14.4,30.1,0.0,0,30775.0
2015-09-16,25.24,17.2,32.6,0.0,0,25343.0
2015-09-17,27.26,20.4,33.0,0.0,0,33930.0
2015-09-18,28.06,21.3,34.5,0.0,0,26311.0
2015-09-19,28.0,21.1,35.5,0.0,1,31836.0
2015-09-20,23.6,19.2,33.3,0.0,1,34695.0
2015-09-21,24.72,17.4,32.8,0.0,0,29829.0
2015-09-22,25.7,18.9,33.3,0.0,0,26362.0
2015-09-23,26.14,18.3,34.0,0.0,0,32589.0
2015-09-24,28.3,20.5,35.3,0.0,0,30345.0
2015-09-25,23.24,19.2,30.3,0.0,0,29411.0
2015-09-26,20.58,18.2,24.9,28.6,1,29637.0
2015-09-27,22.3,18.2,30.6,1.8,1,32184.0
2015-09-28,21.22,17.5,23.6,27.2,0,17731.0
2015-09-29,21.8,17.5,27.1,0.0,0,24114.0
2015-09-30,21.52,18.6,27.6,0.0,0,28034.0
2015-10-01,20.96,17.6,26.4,7.6,0,22664.0
2015-10-02,24.74,19.3,32.7,0.0,0,27488.0
2015-10-03,20.28,16.1,25.0,25.0,1,24876.0
2015-10-04,18.6,17.1,21.3,0.2,1,24862.0
2015-10-05,17.36,14.8,22.4,0.0,0,24679.0
2015-10-06,18.26,14.6,24.7,0.0,0,22304.0
2015-10-07,24.5,15.9,32.6,0.0,0,30329.0
2015-10-08,26.56,19.3,34.0,0.0,0,33182.0
2015-10-09,24.52,19.8,29.0,0.0,0,23849.0
2015-10-10,23.06,19.6,28.0,0.3,1,33330.0
2015-10-11,22.48,19.6,30.0,0.0,1,34496.0
2015-10-12,22.76,19.0,29.6,0.0,0,26249.0
2015-10-13,21.4,18.1,27.6,2.4,0,26523.0
2015-10-14,23.62,18.2,28.5,0.0,0,26793.0
2015-10-15,28.12,18.9,35.8,0.0,0,35861.0
2015-10-16,26.24,21.3,35.7,0.0,0,27387.0
2015-10-17,21.22,17.3,29.2,0.0,1,32666.0
2015-10-18,16.76,15.5,19.2,0.1,1,22199.0
2015-10-19,19.86,15.5,27.2,0.0,0,24000.0
2015-10-20,26.3,17.2,35.3,0.0,0,27871.0
2015-10-21,24.62,21.3,32.0,0.0,0,31139.0
2015-10-22,19.9,17.7,22.8,14.6,0,23065.0
2015-10-23,20.5,17.6,27.3,13.4,0,26594.0
2015-10-24,17.94,16.2,21.2,0.0,1,27657.0
2015-10-25,17.64,15.7,19.2,0.0,1,26594.0
2015-10-26,20.86,16.0,28.5,28.4,0,28084.0
2015-10-27,22.0,19.1,28.4,0.1,0,27582.0
2015-10-28,20.42,18.6,23.9,0.0,0,24862.0
2015-10-29,20.56,18.2,24.8,0.0,0,22634.0
2015-10-30,23.86,19.1,31.2,0.0,0,31649.0
2015-10-31,23.18,18.2,29.3,0.0,1,35781.0
2015-11-01,20.22,18.7,22.4,27.2,1,24429.0
2015-11-02,21.82,18.3,27.2,39.6,0,20648.0
2015-11-03,21.86,19.5,25.6,3.4,0,22741.0
2015-11-04,21.52,18.6,27.4,6.8,0,21479.0
2015-11-05,21.8,18.2,24.8,39.3,0,23134.0
2015-11-06,19.76,18.0,22.8,0.0,0,20575.0
2015-11-07,18.3,16.8,20.0,1.2,1,24330.0
2015-11-08,20.24,17.4,23.9,0.6,1,28610.0
2015-11-09,22.98,18.7,29.5,4.4,0,28456.0
2015-11-10,23.72,19.4,31.8,10.4,0,27964.0
2015-11-11,26.2,19.8,32.7,0.0,0,29569.0
2015-11-12,23.78,20.8,31.8,0.0,0,29267.0
2015-11-13,22.78,19.4,29.6,0.0,0,28647.0
2015-11-14,25.06,19.5,30.4,16.4,1,26836.0
2015-11-15,23.06,19.8,29.7,8.0,1,29386.0
2015-11-16,21.16,19.4,24.9,0.0,0,24609.0
2015-11-17,21.76,17.7,29.7,0.0,0,26964.0
2015-11-18,25.5,17.6,30.5,14.1,0,23614.0
2015-11-19,26.16,23.3,30.4,0.0,0,22960.0
2015-11-20,23.28,19.6,27.0,6.8,0,20332.0
2015-11-21,19.44,17.2,24.4,7.2,1,30392.0
2015-11-22,22.26,17.1,28.8,0.0,1,31933.0
2015-11-23,20.8,19.6,23.6,13.6,0,21662.0
2015-11-24,21.36,19.3,22.6,7.0,0,21689.0
2015-11-25,21.26,19.3,24.8,0.4,0,25119.0
2015-11-26,22.28,19.0,27.4,0.0,0,25285.0
2015-11-27,22.28,17.6,28.4,0.0,0,28979.0
2015-11-28,23.7,18.7,29.8,0.0,1,34382.0
2015-11-29,22.38,20.5,26.0,17.4,1,30617.0
2015-11-30,19.1,16.7,23.3,23.4,0,20238.0
2015-12-01,20.1,16.4,25.8,0.0,0,24529.0
2015-12-02,22.1,18.2,29.4,0.0,0,30471.0
2015-12-03,22.44,20.2,26.1,0.0,0,28405.0
2015-12-04,22.76,19.0,29.1,0.0,0,29513.0
2015-12-05,24.8,19.5,30.6,0.1,1,32451.0
2015-12-06,23.12,20.6,28.0,0.1,1,32780.0
2015-12-07,20.04,18.0,23.9,47.8,0,23375.0
2015-12-08,21.7,18.0,28.0,0.0,0,27713.0
2015-12-09,23.96,19.6,27.9,0.0,0,27137.0
2015-12-10,24.0,22.2,27.7,0.0,0,22933.0
2015-12-11,24.04,20.7,30.3,0.0,0,30740.0
2015-12-12,23.92,20.6,30.8,0.0,1,29579.0
2015-12-13,24.54,19.3,31.0,12.2,1,29188.0
2015-12-14,26.28,21.1,32.5,2.0,0,28131.0
2015-12-15,25.66,20.6,32.8,4.0,0,28617.0
2015-12-16,22.04,20.7,24.8,1.5,0,21062.0
2015-12-17,23.32,18.9,28.7,0.0,0,24337.0
2015-12-18,26.42,19.6,33.5,0.1,0,27042.0
2015-12-19,23.74,19.8,31.3,1.3,1,32536.0
2015-12-20,22.84,19.6,29.0,8.4,1,30127.0
2015-12-21,23.12,19.6,29.1,27.2,0,24834.0
2015-12-22,24.6,19.6,32.4,43.0,0,26828.0
2015-12-23,27.46,22.1,32.4,3.0,0,26468.0
2015-12-24,24.72,20.5,31.5,3.4,0,31572.0
2015-12-25,23.58,17.8,31.0,39.0,0,26308.0
2015-12-26,23.34,17.8,29.8,94.8,1,21955.0
2015-12-27,24.0,21.1,28.2,13.6,1,32307.0
2015-12-28,22.64,21.1,26.7,0.0,0,26095.0
2015-12-29,21.68,20.3,24.1,10.3,0,22309.0
2015-12-30,21.38,19.3,22.4,6.3,0,20467.0
2015-12-31,24.76,20.2,29.0,0.0,0,22446.0
